,cmc,color,name,type,star_score,board_ratio
1417,3,B,TBLD Shadowfugue,Flash Sorcery,0,
1419,1,G,TBLD Leaf Arrow,Flash Sorcery,0,
1446,2,W,TBLD Marble Diamond,Artifact,0,1.0
1445,2,C,TBLD Magus of the Helm,Artifact Creature - Human Wizard ,0,1.0
1444,1,C,TBLD Junkshop Assistant,Artifact Creature - Construct ,0,1.0
1443,2,C,TBLD Isochron Scepter,Artifact,0,0.8571428571428571
1442,2,C,TBLD Guild Globe,Artifact,0,
1441,2,R,TBLD Fire Diamond,Artifact,0,1.0
1440,2,B,TBLD Charcoal Diamond,Artifact,0,1.0
1439,2,B,TBLD Plunge into Darkness,Flash Sorcery,0,0.0
1438,1,B,TBLD Bog Rebirth,Flash Sorcery,0,1.0
1437,3,HWB,TBLD Unmake,Flash Sorcery,0,
1436,1,B,TBLD Bloodletting Ritual,Flash Sorcery,0,1.0
1435,2,R,TBLD Blazing Vortex,Sorcery,0,0.0
1434,3,R,TBLD Incinerating Breath,Flash Sorcery,0,1.0
1432,2,W,TBLD Servo Exhibition,Sorcery,0,
1431,2,W,TBLD Raise the Alarm,Flash Sorcery,0,
1430,4,MUB,TBLD Mystical Teachings,Flash Sorcery,0,
1429,4,MBR,TBLD Wrecking Ball,Flash Sorcery,0,
1428,2,U,TBLD Halt Order,Flash Sorcery,0,
1427,2,C,TBLD Wilted Lotus,Artifact,0,1.0
1423,0,C,TBLD Mana Cylix,Artifact,0,1.0
1422,2,C,TBLD Sundial of the Infinite,Artifact,0,1.0
1421,1,C,TBLD Brainstone,Artifact,0,
1420,1,C,TBLD Divining Cards,Artifact,0,
1418,3,B,TBLD Go Blank,Sorcery,0,
1772,2,R,TBLD Roast,Sorcery,0,
1773,2,R,TBLD Double Tap,Flash Sorcery,0,0.0
1774,1,R,TBLD Searing Touch,Flash Sorcery,0,1.0
2127,6,R,TBLD Stormfront Hellkite,Creature - Dragon ,0,1.0
2126,2,MBR,TBLD Rakdos Headliner,Creature - Devil ,0,1.0
2125,1,R,TBLD Cackling Toady,Creature - Devil ,0,
2124,6,R,TBLD Flayer of the Hatebound,Creature - Devil ,0,1.0
2123,5,MWUBRG,TBLD Fusion Elemental,Creature - Elemental ,0,
2122,5,MWUBRG,TBLD Chromanticore,Enchantment Creature - Manticore ,0,1.0
2121,1,G,TBLD Basking Rootwalla,Creature - Lizard ,0,
2120,5,G,TBLD Starving Vorapede,Creature - Insect ,0,1.0
2119,1,C,TBLD Gamblers Bauble,Artifact,0,0.7
2118,2,MRG,TBLD Ruination Rioter,Creature - Human Berserker ,0,1.0
2128,5,R,TBLD Ashmaw Tyrant,Creature - Dragon ,0,0.0
2117,4,R,TBLD Clickslither,Creature - Insect ,0,
2115,2,HWB,TBLD Cyber-Intelligence Operative,Creature - Human Rogue Soldier ,0,
2114,3,B,TBLD Moriok Scavenger,Creature - Human Rogue ,0,1.0
2113,1,B,TBLD Mistress of Moonlight,Creature - Elf Vampire Shaman ,0,
2109,4,U,TBLD Riverwise Augur,Creature - Merfolk Wizard ,0,1.0
2108,5,U,TBLD Rootwater Drowner,Creature - Merfolk ,0,0.0
2107,4,U,TBLD Lyxchoas Quetzalcoatl,Creature - Snake ,0,
2106,2,G,TBLD Noose Constrictor,Creature - Snake ,0,
2105,2,G,TBLD Sylvan Vanguard,Creature - Elf Warrior ,0,1.0
2104,3,G,TBLD Farhaven Ranger,Creature - Elf Scout ,0,1.0
2103,2,G,TBLD Carapace Forger,Creature - Elf Artificer ,0,
2116,5,R,TBLD Vulshok Battlemaster,Creature - Human Warrior ,0,
2130,3,MWU,TBLD Hussar Patrol,Flash Creature - Human Knight ,0,
2131,3,HWU,TBLD Vassal Soul,Creature - Spirit ,0,1.0
2132,3,MWU,TBLD Council of the Absolute,Creature - Human Advisor ,0,
2159,3,MRG,TBLD Rhythm of the Wild,Enchantment,0,0.0
2158,4,W,TBLD Auriok Mettle,Enchantment,0,0.14285714285714285
2157,3,R,TBLD Stensia Masquerade,Enchantment,0,1.0
2156,2,W,TBLD Suppression Field,Enchantment,0,
2154,5,B,TBLD Lilianas Mastery,Enchantment,0,
2153,2,R,TBLD Touch of the Void,Sorcery,0,
2152,2,U,TBLD Horribly Awry,Flash Sorcery,0,
2151,6,B,TBLD Grip of Desolation,Sorcery,0,
2150,4,W,TBLD Distortion Barrier,Enchantment,0,
2149,4,G,TBLD From Beyond,Enchantment,0,
2148,5,W,TBLD Consulate Crackdown,Enchantment,0,
2147,3,W,TBLD History of Benalia,Enchantment - Saga ,0,1.0
2146,5,W,TBLD Fall of the Thran,Enchantment - Saga ,0,
2143,1,W,TBLD Chosen Hoplite,Creature - Human Soldier ,0,
2142,1,U,TBLD Artisan of Forms,Creature - Human Wizard ,0,
2141,2,U,TBLD Sage of Hours,Creature - Human Wizard ,0,1.0
2140,2,W,TBLD Akroan Skyguard,Flash Creature - Human Soldier ,0,1.0
2139,2,W,TBLD Auriok Edgewright,Creature - Human Soldier ,0,1.0
2138,6,U,TBLD Geralfs Mindcrusher,Creature - Zombie ,0,1.0
2137,6,B,TBLD Burning-Rune Demon,Creature - Demon ,0,1.0
2136,4,B,TBLD Souldrinker,Creature - Demon ,0,
2134,2,W,TBLD Knight of New Benalia,Creature - Human Knight ,0,
2133,4,W,TBLD Knight of Old Benalia,Creature - Human Knight ,0,
2102,2,B,TBLD Heir of Falkenrath,Creature - Vampire Noble ,0,1.0
2160,5,R,TBLD Bombardment Zone,Enchantment,0,
2101,3,R,TBLD Flamewake Phoenix,Creature - Bird Elemental ,0,1.0
2099,3,B,TBLD Beelzus Plaguetouched Maestro,Legendary Creature - Bird Wizard ,0,
2065,1,B,TBLD Assimilator Slime,Creature - Ooze  ,0,1.0
2063,4,MRW,TBLD Firemane Avenger,Creature - Angel ,0,1.0
2062,0,C,TBLD Sol Talisman,Artifact,0,1.0
2061,5,C,TBLD Darksteel Replica,Artifact,0,
2060,3,C,TBLD Unstable Obelisk,Artifact,0,
2059,4,C,TBLD Lux Cannon,Artifact,0,
2058,2,C,TBLD Thought Vessel,Artifact,0,1.0
2057,3,C,TBLD Temple Bell,Artifact,0,1.0
2056,4,C,TBLD Arcbound Bruiser,Artifact Enchantment Creature - Elemental ,0,
2055,1,C,TBLD Myr Reprocessors,Artifact Creature - Myr ,0,1.0
2066,3,B,TBLD Kyra Vengeful Wraith,Legendary Creature - Spirit ,0,1.0
2054,1,C,TBLD Myr Scrapling,Artifact Creature - Myr ,0,
2052,3,C,TBLD Myr Galvanizer,Artifact Creature - Myr ,0,1.0
2051,7,C,TBLD Myr Enforcer,Artifact Creature - Myr ,0,1.0
2050,2,C,TBLD Brass Overseer,Artifact Creature - Construct ,0,
2049,0,C,TBLD Arcbound Hydra,Artifact Creature - Hydra ,0,1.0
2047,4,C,TBLD Sen Fist of the Five Suns,Legendary Artifact Creature - Myr ,0,
2046,4,C,TBLD Karn Solemn Voyager,Legendary Artifact Creature - Golem ,0,0.2857142857142857
2044,9,C,TBLD Darksteel Forge,Artifact,0,
2043,2,C,TBLD Aetherspec Goggles,Artifact,0,0.0
2042,2,C,TBLD Idol of Oblivion,Artifact,0,
2041,3,C,TBLD Darksteel Reactor,Artifact,0,
2053,1,C,TBLD Myr Servitor,Artifact Creature - Myr ,0,
2067,3,B,TBLD Rokna the Primordial,Legendary Creature - Ooze ,0,
2068,2,G,TBLD Roba the Hood,Legendary Flash Creature - Snake Rogue  ,0,1.0
2070,4,MRG,TBLD Domri Rade Wild Anarch,Legendary Creature - Human Berserker ,0,1.0
2098,3,B,TBLD Callous Bloodmage,Creature - Vampire Wizard ,0,1.0
2097,1,R,TBLD Skilled Sangromancer,Creature - Vampire Wizard ,0,0.4444444444444444
2096,1,R,TBLD Insolent Neonate,Creature - Vampire ,0,1.0
2095,2,MWB,TBLD High Priest of Penance,Creature - Human Cleric ,0,
2094,4,W,TBLD Wealthy Prelate,Creature - Human Cleric ,0,1.0
2093,2,W,TBLD Pious Duke,Creature - Dwarf Noble Cleric ,0,
2092,2,W,TBLD Mine Corp Muscle,Creature - Dwarf Warrior ,0,1.0
2091,2,B,TBLD Blood-Chin Rager,Creature - Human Warrior ,0,
2090,1,B,TBLD Mardu Shadowspear,Creature - Human Warrior ,0,
2089,1,G,TBLD Indelible Hydra,Creature - Hydra ,0,1.0
2088,3,U,TBLD Sad King Gillus,Legendary Creature - Merfolk Noble ,0,1.0
2087,5,U,TBLD Aesqus Benthic Oracle,Legendary Creature - Merfolk Wizard ,0,0.0
2086,5,R,TBLD Matlaxal the Devastator,Legendary Creature - Dinosaur ,0,
2085,3,B,TBLD Stillhollow Headhunter,Creature - Spirit ,0,
2084,3,G,TBLD Nyx Channeler,Creature - Satyr Warrior Shaman ,0,0.5
2083,2,G,TBLD Dazzling Zebracorn,Creature - Unicorn ,0,
2082,2,MUB,TBLD Circo Sinister Lobotomist,Legendary Creature - Human Rogue ,0,
2081,2,MUB,TBLD Lazav Maestro of Whispers,Legendary Creature - Shapeshifter ,0,
2079,5,MBG,TBLD Vraska Assassin Unseen,Legendary Creature - Gorgon Rogue ,0,
2076,4,U,TBLD Ligura Godstream Ancient,Legendary Flash Creature - Dinosaur ,0,0.0
2075,4,B,TBLD Ob Nixilis the Hateful,Legendary Creature - Demon ,0,0.0
2074,3,W,TBLD Avacyn Hope of Innistrad,Legendary Creature - Angel ,0,
2071,2,MGU,TBLD Speaker Zegana Utopian,Legendary Creature - Merfolk Wizard ,0,0.8888888888888888
2100,3,R,TBLD Sootwing Phoenix,Creature - Bird Elemental ,0,1.0
2161,3,R,TBLD Total War,Enchantment,0,
2162,2,R,TBLD Adrenaline,Enchantment,0,
2163,5,W,TBLD Song of the Worldsoul,Enchantment,0,
2252,0,G,TBLD Parasitic Sprouts,Land,0,1.0
2250,0,MBR,TBLD Luxury Suite,Land,0,1.0
2249,0,MUB,TBLD Morphic Pool,Land,0,1.0
2248,0,MGU,TBLD Rejuvenating Springs,Land,0,
2247,0,MWU,TBLD Sea of Clouds,Land,0,
2246,0,MRW,TBLD Spectator Seating,Land,0,
2245,0,MGR,TBLD Spire Garden,Land,0,
2244,0,MUR,TBLD Training Center,Land,0,
2243,0,MWB,TBLD Vault of Champions,Land,0,
2242,0,MBG,TBLD Undergrowth Stadium,Land,0,
2253,0,W,TBLD Worn Cobblestone,Land,0,
2241,0,MGW,TBLD Bountiful Promenade,Land,0,
2239,0,C,TBLD Astral Gate,Land,0,1.0
2238,0,C,TBLD Abandoned Mansion,Land,0,1.0
2237,0,C,TBLD Quickwater Brook,Land,0,1.0
2236,0,C,TBLD Kings Arsenal,Land,0,
2235,1,B,TBLD Bone Splinters,Sorcery,0,0.0
2233,2,U,TBLD Arcane Whorl,Flash Sorcery,0,
2232,1,U,TBLD Twiddle,Flash Sorcery,0,
2231,3,U,TBLD Wade Through,Flash Sorcery,0,
2230,4,W,TBLD Refurbish,Flash Sorcery,0,
2229,3,U,TBLD Metallic Rebuke,Flash Sorcery,0,
2240,0,C,TBLD Alchemists Workshop,Land,0,
2254,0,W,TBLD Falling Stars,Land,0,1.0
2256,0,U,TBLD Sophists Perch,Land,0,1.0
2259,0,R,TBLD Active Eruptions,Land,0,1.0
2283,7,R,TBLD Magma Blast,Sorcery,0,
2282,1,B,TBLD Macabre Waltz,Sorcery,0,
2281,1,U,TBLD Annul,Flash Sorcery,0,0.0
2280,1,U,TBLD Subtle Misstep,Flash Sorcery,0,0.5
2279,7,U,TBLD Fishing Trip,Flash Sorcery,0,
2277,2,G,TBLD Showmatch,Sorcery,0,
2276,1,G,TBLD Primal Might,Sorcery,0,1.0
2275,1,G,TBLD Savage Punch,Sorcery,0,0.5
2274,3,G,TBLD Predators Instinct,Sorcery,0,0.0
2273,2,R,TBLD Cathartic Reunion,Sorcery,0,
2272,1,B,TBLD False Cure,Flash Sorcery,0,
2271,4,G,TBLD Terramorph,Sorcery,0,
2270,4,U,TBLD Distant Melody,Sorcery,0,
2269,4,R,TBLD Goblin War Party,Sorcery,0,
2268,1,R,TBLD Kuldotha Rebirth,Sorcery,0,
2267,2,U,TBLD Master the Cosmos,Sorcery,0,
2266,1,G,TBLD Adventurous Impulse,Flash Sorcery,0,
2265,5,U,TBLD Lucid Dreams,Sorcery,0,
2264,2,U,TBLD Rise and Shine,Sorcery,0,1.0
2263,6,B,TBLD Ever After,Sorcery,0,
2262,4,B,TBLD Zombify,Sorcery,0,1.0
2261,2,W,TBLD Judgement,Sorcery,0,
2260,0,R,TBLD Rickety Tracks,Land,0,1.0
2228,1,R,TBLD Galvanic Blast,Flash Sorcery,0,1.0
2227,1,W,TBLD Masters Call,Flash Sorcery,0,1.0
2226,2,B,TBLD Mortal Fate,Flash Sorcery,0,0.0
2225,2,B,TBLD Sylvan Spite,Flash Sorcery,0,1.0
2192,0,MUB,TBLD Mistvault Bridge,Artifact Land,0,
2191,0,MWB,TBLD Goldmire Bridge,Artifact Land,0,1.0
2190,0,MBR,TBLD Drossforge Bridge,Artifact Land,0,
2189,0,MBG,TBLD Darkmoss Bridge,Artifact Land,0,1.0
2188,0,MWU,TBLD Razortide Bridge,Artifact Land,0,
2187,0,MUR,TBLD Silverbluff Bridge,Artifact Land,0,1.0
2186,0,MRW,TBLD Rustvale Bridge,Artifact Land,0,
2185,0,MRG,TBLD Slagwoods Bridge,Artifact Land,0,
2184,0,MGU,TBLD Tanglepool Bridge,Artifact Land,0,
2183,0,MGW,TBLD Thornglint Bridge,Artifact Land,0,1.0
2182,0,U,TBLD Submerged Tower,Artifact Land,0,1.0
2179,0,R,TBLD Desert Cache,Artifact Land,0,1.0
2177,3,MBR,TBLD Claim_Fame,Sorcery // Sorcery,0,
2175,4,G,TBLD Dawns Reflection,Enchantment - Aura ,0,
2174,3,G,TBLD Overgrowth,Enchantment - Aura ,0,1.0
2173,2,G,TBLD Fertile Ground,Enchantment - Aura ,0,1.0
2172,1,W,TBLD Sentinels Eyes,Enchantment - Aura ,0,1.0
2171,1,B,TBLD Malignant Pact,Enchantment - Aura ,0,1.0
2170,1,B,TBLD Dying Wish,Enchantment - Aura ,0,
2167,3,R,TBLD Mana Flare,Enchantment,0,
2166,4,W,TBLD Stubborn Resistance,Enchantment,0,
2165,2,U,TBLD Trainers Eyes,Enchantment,0,
2164,1,W,TBLD One on One,Enchantment,0,1.0
2194,0,MWUBRG,TBLD Grand Library of Paliano,Legendary Land,0,1.0
2040,3,C,TBLD Homunculus Blade,Artifact - Equipment ,0,
2195,0,U,TBLD Dakra Isles,Enchantment Land,0,1.0
2197,0,W,TBLD Oreskos Vale,Enchantment Land,0,1.0
2223,3,B,TBLD Pharikas Libation,Flash Sorcery,0,
2222,2,U,TBLD Frantic Inventory,Flash Sorcery,0,1.0
2221,1,R,TBLD Supercharge,Sorcery,0,1.0
2220,3,R,TBLD Arcbond,Flash Sorcery,0,1.0
2219,10,R,TBLD Apex of Power,Sorcery,0,1.0
2218,4,G,TBLD Reap and Sow,Sorcery,0,
2216,5,G,TBLD Creeping Renaissance,Sorcery,0,1.0
2215,1,U,TBLD Retraction Helix,Flash Sorcery,0,
2214,2,W,TBLD Back in Action,Flash Sorcery,0,
2212,2,R,TBLD Bludgeon,sorcery,0,
2211,3,MUB,TBLD Mind Grind,Sorcery,0,
2210,3,MUB,TBLD Mind Funeral,Sorcery,0,1.0
2209,2,B,TBLD Alms of the Vein,Sorcery,0,1.0
2208,3,B,TBLD Suffocating Fumes,Flash Sorcery,0,0.0
2207,2,MRW,TBLD Ride Down,Flash Sorcery,0,
2206,2,U,TBLD Curate,Flash Sorcery,0,
2205,4,MBG,TBLD Culling Ritual,Sorcery,0,
2204,1,G,TBLD Exponential Growth,Sorcery,0,
2203,2,HWB,TBLD Essence Infusion,Flash Sorcery,0,1.0
2202,2,U,TBLD Potent Denial,Flash Sorcery,0,1.0
2200,3,U,TBLD Artificers Epiphany,Flash Sorcery,0,1.0
2199,0,R,TBLD Den of Thraxes,Enchantment Land,0,1.0
2198,0,G,TBLD Nessian Wilds,Enchantment Land,0,1.0
2196,0,B,TBLD Depths of Tizerus,Enchantment Land,0,
2039,3,C,TBLD Ironclad Augment,Artifact - Equipment ,0,
2038,0,C,TBLD Paradise Mantle,Artifact - Equipment ,0,
2037,1,C,TBLD Arcbound Worker,Artifact Creature - Construct ,0,
1870,1,R,TBLD Volcanic Aftershock,Sorcery,0,1.0
1869,2,MUR,TBLD Duplicate,Flash Sorcery,0,
1868,3,B,TBLD Snatch,Flash Sorcery,0,
1867,2,MBR,TBLD Auger Spree,Flash Sorcery,0,
1865,1,U,TBLD Stealth Mission,Sorcery,0,1.0
1864,1,R,TBLD Smokescreen,Sorcery,0,1.0
1862,1,R,TBLD Scorch,Sorcery,0,0.9512195121951219
1860,5,R,TBLD Grand Finale,Sorcery,0,1.0
1857,2,MRW,TBLD Swiftblade Vindicator,Creature - Human Soldier ,0,1.0
1856,1,W,TBLD Akrasan Squire,Creature - Human Soldier ,0,
1873,6,R,TBLD Madcap Roulette,Sorcery,0,
1854,2,W,TBLD Enlightened Ascetic,Creature - Cat Monk ,0,
1852,4,G,TBLD Timeless Witness,Creature - Human Shaman ,0,
1851,1,B,TBLD Scrib Nibblers,Creature - Rat ,0,
1850,1,B,TBLD Ravenous Vermin,Creature - Rat ,0,
1849,1,B,TBLD Scumshop Goon,Creature - Rat Warrior ,0,1.0
1848,2,B,TBLD Vile Manifestation,Creature - Horror ,0,
1847,3,B,TBLD Drakestown Forgotten,Creature - Zombie ,0,1.0
1846,5,B,TBLD Noosegraf Mob,Creature - Zombie ,0,1.0
1845,2,B,TBLD Nim Lasher,Creature - Zombie ,0,
1844,2,B,TBLD Despoiler of Souls,Creature - Horror ,0,
1843,2,B,TBLD Plaguepiercer,Creature - Horror ,0,1.0
1853,2,W,TBLD Adorned Pouncer,Creature - Cat ,0,0.0
1874,1,R,TBLD Lava Dart,Flash Sorcery,0,1.0
1875,2,R,TBLD Arcane Bolt,Flash Sorcery,0,
1876,2,R,TBLD Flaring Pain,Flash Sorcery,0,0.3333333333333333
1904,1,W,TBLD Holy Strength,Enchantment - Aura ,0,1.0
1903,4,W,TBLD Indestructibility,Flash Enchantment - Aura ,0,1.0
1902,2,W,TBLD Light of Promise,Enchantment - Aura ,0,
1901,3,W,TBLD Wings of Thalmyda,Enchantment - Aura ,0,1.0
1900,1,U,TBLD Curious Obsession,Enchantment - Aura ,0,0.75
1899,2,W,TBLD All That Glitters,Enchantment - Aura ,0,0.6666666666666666
1898,2,G,TBLD Fists of Ironwood,Enchantment - Aura ,0,1.0
1897,5,G,TBLD Stalking Predators,Enchantment - Aura ,0,
1896,1,R,TBLD Combat Reflexes,Enchantment - Aura ,0,1.0
1895,1,R,TBLD Alpine Moon,Enchantment,0,
1894,5,R,TBLD Echoes of Power,Enchantment,0,
1893,5,B,TBLD Pall of Death,Enchantment,0,
1892,4,G,TBLD Primordial Beat,Enchantment,0,
1891,2,U,TBLD Crystalline Resonance,Enchantment,0,1.0
1890,3,W,TBLD Astral Slide,Enchantment,0,
1887,2,U,TBLD Merrow Commerce,Enchantment,0,
1886,5,MWU,TBLD Righteous Authority,Enchantment - Aura ,0,
1885,2,R,TBLD Tin Street Market,Enchantment - Aura ,0,
1884,2,R,TBLD Curse of Malware,Enchantment - Aura Curse ,0,0.0
1883,2,MUR,TBLD Short Circuit,Flash Sorcery,0,
1882,2,R,TBLD Kalameets Gaze,Sorcery,0,0.7142857142857143
1879,2,R,TBLD Arc Trail,Sorcery,0,0.0
1877,2,R,TBLD Electrodominance,Flash Sorcery,0,0.8571428571428571
1841,2,W,TBLD Those Who Serve,Creature - Zombie ,0,
1840,5,MRWB,TBLD Zurgo Helmsmasher,Legendary Creature - Orc Warrior ,0,
1839,5,MBR,TBLD Boltwing Marauder,Creature - Dragon ,0,
1838,4,R,TBLD Shockmaw Dragon,Creature - Dragon ,0,
1800,4,G,TBLD Cyber-Enhanced Tyranno,Artifact Creature - Dinosaur ,0,0.2
1799,4,G,TBLD Siege Troll,Creature - Troll ,0,
1798,6,U,TBLD Reliquary Beholder,Creature - Homunculus ,0,
1796,2,R,TBLD Pop Gobber,Creature - Goblin Shaman ,0,0.5
1795,4,R,TBLD Student of Kiki-Jiki,Creature - Goblin Shaman ,0,1.0
1794,2,B,TBLD Putrid Goblin,Creature - Zombie Goblin ,0,
1793,2,R,TBLD Dark-Dweller Oracle,Creature - Goblin Shaman ,0,
1792,2,R,TBLD Goblin Wardriver,Creature - Goblin Warrior ,0,
1791,2,R,TBLD Mudbutton Torchrunner,Creature - Goblin Warrior ,0,
1790,1,R,TBLD Ageless Prince,Creature - Vampire Rogue Noble ,0,
1789,1,R,TBLD Rigging Runner,Creature - Goblin Rogue ,0,
1788,1,R,TBLD Fanatical Firebrand,Creature - Goblin Rogue ,0,0.8888888888888888
1787,1,R,TBLD Reckless Waif,Creature - Human Rogue Werewolf ,0,1.0
1786,3,R,TBLD Flash of Steel,Flash Sorcery,0,
1785,3,R,TBLD Rush of Blood,Flash Sorcery,0,1.0
1783,1,R,TBLD Firedrinker Satyr,Creature - Satyr Shaman ,0,1.0
1781,7,R,TBLD Flame Wave,Sorcery,0,
1780,2,R,TBLD Electrify,Flash Sorcery,0,
1779,1,R,TBLD Tremor,Flash Sorcery,0,
1778,2,R,TBLD Nyxflare,Flash Sorcery,0,
1777,4,R,TBLD Dazzling Ritual,Sorcery,0,
1776,2,R,TBLD Essence of Lotus,Sorcery,0,
1775,4,R,TBLD Lords Voyage,Sorcery,0,
1801,4,MUR,TBLD Mizzium Slugger,Artifact Creature - Construct ,0,
1905,2,C,TBLD Lucky Egg,Artifact - Equipment ,0,
1802,3,R,TBLD Magus of the Stacks,Creature - Human Wizard ,0,1.0
1804,1,R,TBLD Oobo Traveler,Creature - Human Monk Scout ,0,
1837,3,W,TBLD Strongarm Monk,Creature - Human Monk ,0,
1834,7,W,TBLD Soul of Eternity,Creature - Avatar ,0,
1830,4,R,TBLD Fanatic of Mogis,Creature - Minotaur Shaman ,0,
1829,3,G,TBLD Karametras Acolyte,Creature - Human Shaman ,0,
1827,3,W,TBLD Hurloon Elder,Creature - Minotaur Shaman ,0,
1826,1,W,TBLD Scrappy Calf,Creature - Minotaur ,0,
1825,2,R,TBLD Minotaur Savant,Creature - Minotaur Shaman ,0,0.0
1824,3,R,TBLD Minotaur Skullcleaver,Creature - Minotaur Berserker ,0,
1822,2,R,TBLD Hellspark Elemental,Creature - Elemental ,0,
1821,2,R,TBLD Electrostatic Field,Creature - Wall ,0,
1820,2,W,TBLD In Oketras Name,Flash Sorcery,0,1.0
1819,3,B,TBLD Reaping the Graves,Flash Sorcery,0,
1818,1,B,TBLD Defeat,Sorcery,0,
1817,1,B,TBLD Ghastly Demise,Flash Sorcery,0,
1816,6,R,TBLD Wildfire,Sorcery,0,
1815,1,B,TBLD Psychic Assault,Sorcery,0,
1814,2,R,TBLD Fire Giants Fury,Sorcery,0,
1813,5,G,TBLD Secret Stash,Sorcery,0,
1812,5,R,TBLD Wild Encounter,Flash Sorcery,0,
1810,4,R,TBLD Igniclasm,Sorcery,0,0.29411764705882354
1809,1,R,TBLD Sparkweaver Kirin,Creature - Spirit ,0,1.0
1808,2,U,TBLD Master of Faces,Creature - Shapeshifter ,0,
1806,1,R,TBLD Ghitu Lavarunner,Creature - Human Wizard ,0,1.0
1803,3,R,TBLD Mantle Stoker,Flash Creature - Human Wizard ,0,
1254,2,MRW,TBLD Mogg Tax Collector,Creature - Goblin Soldier ,0,1.0
1907,0,C,TBLD Silverskin Armor,Artifact - Equipment ,0,1.0
1909,5,C,TBLD Necropouncer,Artifact - Equipment ,0,
2005,1,R,TBLD Falkenrath Gorger,Creature - Vampire Berserker ,0,1.0
2004,4,R,TBLD Hound of Griselbrand,Creature - Devil Dog ,0,0.16666666666666666
2003,3,B,TBLD Pitiless Horde,Creature - Orc Berserker ,0,
2002,3,R,TBLD Krenko Tin Street Kingpin,Legendary Creature - Goblin Rogue ,0,0.0
2001,2,R,TBLD Goblin Cratermaker,Creature - Goblin Warrior ,0,
2000,2,R,TBLD Warren Instigator,Creature - Goblin Berserker ,0,
1999,4,B,TBLD Warren Pilferers,Creature - Goblin Rogue ,0,
1998,1,B,TBLD Knucklebone Witch,Creature - Goblin Shaman ,0,
1997,1,B,TBLD Facevaulter,Creature - Goblin Warrior ,0,
1996,1,R,TBLD Spikeshot Elder,Creature - Goblin Shaman ,0,
2009,5,U,TBLD Geralfs Masterpiece,Creature - Zombie Horror ,0,1.0
1995,2,R,TBLD Goblin Bangchuckers,Creature - Goblin Warrior ,0,
1993,4,R,TBLD Beetleback Chief,Creature - Goblin Warrior ,0,0.0
1992,4,R,TBLD Goblin Monarch,Creature - Goblin Noble ,0,
1991,1,R,TBLD Goblin Banneret,Creature - Goblin Soldier ,0,
1990,4,R,TBLD Goblin Heelcutter,Creature - Goblin Berserker ,0,1.0
1989,1,R,TBLD Vial Courier,Creature - Human Scout ,0,
1988,1,G,TBLD Young Wolf,Creature - Wolf ,0,1.0
1986,2,G,TBLD Qarsi Nobleguard,Creature - Snake Soldier ,0,
1985,2,G,TBLD Elvish Visionary,Creature - Elf Shaman ,0,1.0
1984,1,G,TBLD Lone Silverwolf,Creature - Wolf ,0,
1983,1,G,TBLD Kumenas Speaker,Creature - Merfolk Shaman ,0,1.0
1994,4,R,TBLD Volley Veteran,Creature - Goblin Warrior ,0,
2010,3,U,TBLD Stitchwing Skaab,Creature - Zombie ,0,1.0
2011,2,R,TBLD Dwarven Alchemist,Creature - Dwarf Artificer ,0,
2012,2,G,TBLD Boneyard Wurm,Creature - Wurm ,0,1.0
2036,4,C,TBLD Frogmite,Artifact Creature - Frog ,0,1.0
2035,1,C,TBLD Myr Propagator,Artifact Creature - Myr ,0,1.0
2034,1,C,TBLD Myr Dabblers,Artifact Creature - Myr ,0,1.0
2033,2,C,TBLD Perilous Myr,Artifact Creature - Myr ,0,1.0
2032,2,C,TBLD Myr Retriever,Artifact Creature - Myr ,0,0.5
2031,2,C,TBLD Omega Myr,Artifact Creature - Myr ,0,1.0
2030,5,C,TBLD Twisted Myr,Artifact Creature - Phyrexian Myr ,0,0.5
2029,5,C,TBLD Darksteel Juggernaut,Artifact Creature - Juggernaut ,0,
2028,2,C,TBLD Shimmer Myr,Artifact Creature - Myr ,0,
2027,2,C,TBLD Myr Superion,Artifact Creature - Myr ,0,1.0
2026,2,C,TBLD Alpha Myr,Artifact Creature - Myr ,0,
2025,3,C,TBLD Alloy Myr,Artifact Creature - Myr ,0,
2024,3,C,TBLD Palladium Myr,Artifact Creature - Myr ,0,
2023,2,C,TBLD Leaden Myr,Artifact Creature - Myr ,0,1.0
2022,2,C,TBLD Iron Myr,Artifact Creature - Myr ,0,1.0
2021,2,C,TBLD Gold Myr,Artifact Creature - Myr ,0,1.0
2020,2,C,TBLD Copper Myr,Artifact Creature - Myr ,0,1.0
2019,2,C,TBLD Silver Myr,Artifact Creature - Myr ,0,1.0
2018,6,U,TBLD Sphinx of Enlightenment,Creature - Sphinx ,0,
2016,6,U,TBLD Sphinx of the Chimes,Creature - Sphinx ,0,
2015,5,U,TBLD Citywatch Sphinx,Creature - Sphinx ,0,
2014,6,U,TBLD Isperias Skywatch,Creature - Vedalken Knight ,0,
2013,4,G,TBLD Kavu Climber,Flash Creature - Beast ,0,
1982,1,U,TBLD Triton Shorestalker,Creature - Merfolk Rogue ,0,
1981,1,G,TBLD Skarrgan Pit-Skulk,Creature - Human Warrior ,0,1.0
1980,4,G,TBLD Mucksoaker,Creature - Ooze ,0,1.0
1979,2,U,TBLD Baral Chief of Compliance,Creature - Human Wizard ,0,
1939,1,W,TBLD Summary Judgment,Flash Sorcery,0,1.0
